Year | Année,Facility Name | Nom de l'installation,Sample Station Name | Nom de la station d'échantillonnage,Latitude | Latitude,Longitude | Longitude,Sample Type (English) | Type d'échantillon (anglais),Sample Type (French) | Type d'échantillon (français),Substance Name (English) | Nom de substance (anglais),Substance Name (French) | Nom de substance (français),Statistical Quantity (English) | Quantité statistique (anglais),Statistical Quantity (French) | Quantité statistique (français),<,Result | Résultat,Units | Unités
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,698,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,4541.08,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,189.31,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,254.68,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,204.05,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,168.88,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,10.15,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,162.74,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,488.16,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,55.45,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,105.95,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,187.9,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,396.28,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,607.2,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1025.22,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,502.69,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,663.94,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,872.83,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1027.98,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1051,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,104.66,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,765.78,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,114.84,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,52.24,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,41.44,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,42.63,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,55.37,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,5.44,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,92.3,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,105.41,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,147.99,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,508.65,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,330.86,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,877.92,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1044.89,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1365.09,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,284.64,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,304.17,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,258.87,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,21.76,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,94.34,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,669.11,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,111.65,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1316.06,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,642.17,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,212.1,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,379.75,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1671,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,1449.57,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium (HT),Tritium élémentaire,Weekly Total,Total hebdomadaire,,99.17,GBq
2011,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,78.24,GBq
