"year","facility_name","sample_station_name","latitude","longitude","sample_type_en","sample_type_fr","substance_name_en","substance_name_fr","statistical_quantity_en","statistical_quantity_fr","energy_below_1_mev","result","units","sample_category"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,5.44,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,92.3,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,105.41,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,147.99,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,508.65,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,330.86,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,877.92,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1044.89,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1365.09,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,284.64,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,304.17,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,258.87,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,21.76,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,94.34,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,669.11,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,111.65,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1316.06,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,642.17,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,212.1,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,379.75,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1671,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,1449.57,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,99.17,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,78.24,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,167.85,"GBq","Abiotic"
2011,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,173.33,"GBq","Abiotic"
